id;amount;is_paid;paid_at;expiry_date
1;68944;false;2022-12-17T05:19:15;2022-12-17T01:52:39
2;11629;false;2022-12-16T21:30:40;2022-12-17T06:08:55
3;51758;false;2022-12-16T23:00:56;2022-12-16T12:01:43
4;17853;true;2022-12-16T15:19:44;2022-12-16T14:29:17
5;27706;false;2022-12-16T17:34:06;2022-12-17T05:33:54
6;46030;false;2022-12-16T16:22:24;2022-12-17T05:32:54
7;68461;false;2022-12-16T16:05:52;2022-12-16T18:46:25
8;27268;true;2022-12-16T17:15:53;2022-12-16T11:25:31
9;4260;false;2022-12-16T15:10:38;2022-12-16T12:53:22
10;37748;true;2022-12-16T22:40:02;2022-12-16T15:16:56
