id;period_name;create_at;amount;dates_of_period
1;Wooden;2022-12-16T14:03:03;27151;HalfYear
2;Avon Chief Krone;2022-12-17T09:22:44;57212;Year
3;stable plum Bedfordshire;2022-12-16T21:11:49;61383;Month
4;Unions;2022-12-17T09:04:12;98946;Year
5;Direct array Account;2022-12-17T03:15:39;57068;Week
6;program hack;2022-12-16T21:54:24;4515;Day
7;synergistic drive;2022-12-17T08:20:39;50294;HalfYear
8;mindshare;2022-12-17T00:56:24;6073;HalfYear
9;Consultant;2022-12-16T09:40:11;38017;Month
10;Burg;2022-12-17T05:32:58;8468;HalfYear
