id;turnir_name;creater_id;start_date;end_date;price
1;Awesome;27074;2022-12-17T05:38:13;2022-12-16T20:51:39;48479
2;Forks;35505;2022-12-17T00:50:55;2022-12-16T18:49:38;99212
3;Peru Corporate ;51557;2022-12-16T20:19:50;2022-12-17T09:20:32;47593
4;solid;24385;2022-12-17T03:06:40;2022-12-16T16:06:20;85587
5;Chips;56888;2022-12-16T18:12:35;2022-12-17T04:48:49;89718
6;seamless;98445;2022-12-17T03:56:37;2022-12-17T08:55:14;46343
7;Lev;44527;2022-12-17T08:06:48;2022-12-16T18:26:28;7934
8;port;94022;2022-12-16T17:25:04;2022-12-17T04:39:45;97466
9;challenge;89236;2022-12-16T16:54:56;2022-12-16T22:50:15;55861
10;sensor metrics;3728;2022-12-17T03:11:57;2022-12-17T08:35:03;80008
